Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HS571T OVARY,0.7624726152489764,2.4984356191546317,0.0,0.0,0.0,25/40,12.45%,CLEC3B;FABP4;GPR116;ACVRL1;GSTM5;FBLN5;PPP1R14A;COL6A6;LRRC2;GNA14;CD36;PRELP;COX7A1;SPATA18;CXCL12;ECM2;PARD3B;TMEM130;PALMD;TMEM119;ARMC9;PODN;CACNB4;ZNF423;EDNRA
prerank,CMK115 HAEMATOPOIETIC AND LYMPHOID TISSUE,0.7976789935630071,2.456699759360282,0.0,0.0,0.0,18/38,9.04%,SPN;ESAM;SELP;TCTEX1D1;FCER1A;ICAM4;RASGRP2;PEAR1;KCNK17;CD33;RGS18;GATA2;TNFAIP8L2;IRAK3;FCER1G;FREM1;RAPGEF2;ROBO2
prerank,P31FUJ HAEMATOPOIETIC AND LYMPHOID TISSUE,0.6912919597746618,2.3486475777311564,0.0,0.0,0.0,40/55,20.20%,CX3CR1;CTSG;OSCAR;ALOX5AP;CXCR2;TCTEX1D1;ICAM4;RAB37;CLEC4D;MNDA;IL18RAP;CD33;CD244;C5AR1;CLEC4E;RGS18;PILRA;P2RY13;IRF8;NLRP3;ZNF763;TNFAIP8L2;FCER1G;RGL4;FAM124A;CST7;GPR18;HVCN1;HCK;CD1D;IL18BP;GPR97;ZNF438;CYTH4;ENTPD1;TMEM229B;KCNMB1;CD300A;TMEM80;BZRAP1
prerank,PL21 HAEMATOPOIETIC AND LYMPHOID TISSUE,0.7107393910987485,2.3221023973070665,0.0,0.0,0.0,32/52,12.14%,CX3CR1;SPN;KCNA3;FAM105A;CTSG;OSCAR;ALOX5AP;CXCR2;RAB37;GNMT;CLEC4D;LY86;MNDA;CD33;CD244;C5AR1;SPI1;RGS18;PILRA;P2RY13;CYSLTR1;ATP11A;IRF8;NLRP3;TNFAIP8L2;FCER1G;KCNN2;RGL4;PRKCB;SNAI3;ARL11;GPR18
prerank,ME1 HAEMATOPOIETIC AND LYMPHOID TISSUE,0.6729781413966247,2.317939505721903,0.0,0.0,0.0,32/56,20.35%,SPN;ESAM;CD34;GPR146;TCTEX1D1;ICAM4;RAB37;RASGRP2;ACE;TPSAB1;KCNK17;FLT4;CD244;PDE1B;SPI1;RGS18;TNFAIP8L2;IRAK3;TBC1D10C;RGL4;SNAI3;TMEM119;CST7;RIN3;IL18BP;GPR97;STAT5A;STAB1;ICAM3;CD300A;BZRAP1;LGALS9
prerank,BHY UPPER AERODIGESTIVE TRACT,-0.7840041746270745,-2.3129655261208413,0.0,0.0,0.0,11/26,7.13%,KRT6A;MMP10;FAT2;TP63;BARX2;SALL4;PLCH2;CILP2;S1PR5;SLC22A1;CNTN1
prerank,KASUMI1 HAEMATOPOIETIC AND LYMPHOID TISSUE,0.7967475884141729,2.311055800585554,0.0,0.0,0.0,13/24,10.54%,TNXB;CTSG;CD34;TCTEX1D1;RAB37;IGSF10;CLEC4D;MNDA;CLEC4E;P2RY13;CYSLTR1;IRAK3;CACNB4
prerank,SNU503 LARGE INTESTINE,-0.8120007512352255,-2.309655221029371,0.0,0.0,0.0,12/21,7.10%,KRT6A;FAT2;PKP1;LYPD3;TP63;CABYR;ALDH3A1;TMEM63C;PANX2;WDR66;ABCC1;NMNAT3
prerank,EB1 HAEMATOPOIETIC AND LYMPHOID TISSUE,0.6973839809664466,2.2910493080770316,0.0,0.0,0.0,29/48,17.98%,FHL5;SNX22;ALOX5AP;SLC23A1;ABCA6;LY86;BANK1;VNN2;SPI1;PILRA;FGD2;IRF8;CD37;RASGEF1B;TLR7;TLR10;SLC6A16;ARL11;CD80;GPR18;HVCN1;TRANK1;CD79B;P2RY10;CCR7;ENTPD1;TTLL11;IFI44L;TFEB
prerank,KE97 HAEMATOPOIETIC AND LYMPHOID TISSUE,0.7553528217255223,2.285582388483408,0.0,0.0,0.0,23/32,16.51%,FHL5;DNASE1L3;CHI3L2;ALOX5AP;ABCA6;LY86;MNDA;PILRA;FGD2;TTC18;CYSLTR1;TLR7;FHAD1;TLR10;PARM1;CACNB4;CD80;HVCN1;LCAT;P2RY10;CCR7;IL7;ENTPD1
